file,class,conf,x1,y1,x2,y2
CHILD_IN_FRONT_0001.jpg,0,0.8969590663909912,688,160,933,761
CHILD_IN_FRONT_0001.jpg,3,0.7802011370658875,0,277,212,427
CHILD_IN_FRONT_0001.jpg,3,0.6617990732192993,359,424,1116,849
CHILD_IN_FRONT_0001.jpg,0,0.5909004807472229,631,260,751,682
CHILD_IN_FRONT_0002.jpg,0,0.9269126653671265,376,41,1044,840
CHILD_IN_FRONT_0002.jpg,3,0.8940732479095459,154,513,1165,842
CHILD_IN_FRONT_0002.jpg,0,0.8587701916694641,446,234,871,840
CHILD_IN_FRONT_0003.jpg,3,0.9063880443572998,82,264,912,844
CHILD_IN_FRONT_0003.jpg,0,0.8818726539611816,300,66,560,729
CHILD_IN_FRONT_0004.jpg,0,0.9211373329162598,486,50,917,737
CHILD_IN_FRONT_0004.jpg,3,0.8847675919532776,201,267,1099,815
CHILD_IN_FRONT_0004.jpg,0,0.6239293217658997,489,192,710,646
CHILD_IN_FRONT_0005.jpg,3,0.9253422617912292,344,224,1084,723
CHILD_IN_FRONT_0005.jpg,0,0.8735041618347168,585,87,859,637
CHILD_IN_FRONT_0005.jpg,0,0.3851493299007416,586,141,773,636
CHILD_IN_FRONT_0006.jpg,3,0.9370549917221069,191,266,979,806
CHILD_IN_FRONT_0006.jpg,0,0.9108850359916687,363,100,665,713
CHILD_IN_FRONT_0006.jpg,0,0.8184401988983154,492,220,673,667
CHILD_IN_FRONT_0007.jpg,3,0.9427043795585632,146,203,932,708
CHILD_IN_FRONT_0007.jpg,0,0.8872531652450562,413,76,708,658
CHILD_IN_FRONT_0007.jpg,0,0.8871385455131531,571,180,726,537
CHILD_IN_FRONT_0008.jpg,0,0.9275509119033813,397,73,828,717
CHILD_IN_FRONT_0008.jpg,0,0.9005410075187683,931,145,1026,372
CHILD_IN_FRONT_0008.jpg,3,0.8520635366439819,165,283,1013,794
CHILD_IN_FRONT_0008.jpg,0,0.771303117275238,582,228,832,499
CHILD_IN_FRONT_0009.jpg,0,0.9205518364906311,507,50,867,615
CHILD_IN_FRONT_0009.jpg,3,0.9097803831100464,318,217,1075,681
CHILD_IN_FRONT_0009.jpg,0,0.405403196811676,523,153,729,384
CHILD_IN_FRONT_0010.jpg,0,0.9054104685783386,519,67,764,529
CHILD_IN_FRONT_0010.jpg,3,0.8268294930458069,328,180,933,597
CHILD_IN_FRONT_0010.jpg,0,0.6975960731506348,517,129,654,344
CHILD_IN_FRONT_0011.jpg,0,0.9139358997344971,247,79,526,557
CHILD_IN_FRONT_0011.jpg,3,0.843216598033905,229,243,539,659
CHILD_IN_FRONT_0011.jpg,0,0.7073383927345276,402,0,487,53
CHILD_IN_FRONT_0011.jpg,0,0.5731682181358337,35,0,108,39
CHILD_IN_FRONT_0011.jpg,0,0.5325989127159119,312,1,386,40
CHILD_IN_FRONT_0011.jpg,0,0.26575854420661926,346,188,465,304
CHILD_IN_FRONT_0012.jpg,0,0.9097302556037903,561,65,875,597
CHILD_IN_FRONT_0012.jpg,3,0.882792055606842,358,230,1109,684
CHILD_IN_FRONT_0012.jpg,0,0.7176752686500549,529,106,725,527
NO_OVERLOADING_0001.jpg,3,0.9335629343986511,156,259,1023,845
NO_OVERLOADING_0001.jpg,0,0.8741078972816467,351,52,784,706
NO_OVERLOADING_0001.jpg,0,0.7999343872070312,228,40,548,661
NO_OVERLOADING_0002.jpg,0,0.922989547252655,0,138,641,842
NO_OVERLOADING_0002.jpg,0,0.6426709890365601,257,128,779,827
NO_OVERLOADING_0002.jpg,3,0.6200297474861145,541,310,1190,842
NO_OVERLOADING_0002.jpg,3,0.3929779529571533,13,307,1190,842
NO_OVERLOADING_0003.jpg,3,0.9248713254928589,102,218,1192,1173
NO_OVERLOADING_0003.jpg,0,0.9231882095336914,723,10,1066,896
NO_OVERLOADING_0003.jpg,0,0.8987013697624207,543,108,817,953
NO_OVERLOADING_0004.jpeg,3,0.9416278004646301,19,14,247,185
NO_OVERLOADING_0004.jpeg,0,0.8208048343658447,81,4,138,151
NO_OVERLOADING_0004.jpeg,0,0.7835095524787903,48,9,95,138
NO_OVERLOADING_0005.jpeg,3,0.8354535102844238,40,98,268,184
NO_OVERLOADING_0005.jpeg,0,0.8115126490592957,80,29,169,183
NO_OVERLOADING_0005.jpeg,0,0.5459136962890625,125,23,262,181
NO_OVERLOADING_0005.jpeg,0,0.282016783952713,125,23,263,133
NO_OVERLOADING_0006.jpeg,0,0.8589270710945129,8,37,143,227
NO_OVERLOADING_0006.jpeg,3,0.7908232808113098,18,86,139,242
NO_OVERLOADING_0006.jpeg,0,0.35042649507522583,57,24,116,77
NO_OVERLOADING_0007.jpeg,3,0.8938224911689758,50,56,161,146
NO_OVERLOADING_0007.jpeg,0,0.7901783585548401,90,27,125,124
NO_OVERLOADING_0007.jpeg,0,0.45516523718833923,69,40,95,123
NO_OVERLOADING_0008.jpeg,3,0.9445801973342896,48,41,213,157
NO_OVERLOADING_0008.jpeg,0,0.9170835018157959,123,16,200,127
NO_OVERLOADING_0008.jpeg,0,0.9026015400886536,82,25,168,131
NO_OVERLOADING_0008.jpeg,0,0.8105478882789612,45,54,62,108
NO_OVERLOADING_0009.jpeg,0,0.7614761590957642,60,29,219,179
NO_OVERLOADING_0009.jpeg,3,0.5816062092781067,39,80,236,181
NO_OVERLOADING_0009.jpeg,0,0.4611881375312805,31,18,109,179
NO_OVERLOADING_0009.jpeg,3,0.2938871383666992,40,109,213,181
NO_OVERLOADING_0010.jpeg,0,0.8556253910064697,119,37,150,117
NO_OVERLOADING_0010.jpeg,3,0.7361663579940796,139,96,205,178
NO_OVERLOADING_0010.jpeg,0,0.5307980179786682,126,32,194,153
NO_OVERLOADING_0011.jpeg,3,0.883088231086731,69,75,212,153
NO_OVERLOADING_0011.jpeg,0,0.8645866513252258,145,53,184,144
NO_OVERLOADING_0011.jpeg,0,0.8216975331306458,119,63,157,168
NO_OVERLOADING_0011.jpeg,0,0.7391167283058167,21,72,30,95
NO_OVERLOADING_0011.jpeg,0,0.5450388789176941,8,74,20,97
NO_OVERLOADING_0011.jpeg,0,0.4745931029319763,12,74,20,97
NO_OVERLOADING_0012.jpeg,3,0.8709796667098999,20,54,157,148
NO_OVERLOADING_0012.jpeg,0,0.8669490218162537,119,50,147,126
NO_OVERLOADING_0012.jpeg,0,0.8215492963790894,92,45,131,131
NO_OVERLOADING_0012.jpeg,3,0.6740267872810364,245,104,257,120
NO_OVERLOADING_0013.jpeg,3,0.9035640954971313,149,48,232,172
NO_OVERLOADING_0013.jpeg,0,0.8385176658630371,169,7,226,146
NO_OVERLOADING_0013.jpeg,0,0.8231245279312134,213,16,239,137
NO_OVERLOADING_0014.jpeg,3,0.8843090534210205,65,39,196,150
NO_OVERLOADING_0014.jpeg,0,0.7679961919784546,80,22,142,126
NO_OVERLOADING_0014.jpeg,0,0.6651404500007629,124,17,171,76
NO_OVERLOADING_0014.jpeg,0,0.2993733584880829,80,22,142,76
NO_OVERLOADING_0015.jpeg,3,0.928612470626831,5,47,203,159
NO_OVERLOADING_0015.jpeg,0,0.6542946100234985,79,14,151,129
NO_OVERLOADING_0015.jpeg,0,0.4722183048725128,49,8,118,129
NO_OVERLOADING_0015.jpeg,0,0.33548426628112793,82,15,150,78
NO_OVERLOADING_0015.jpeg,0,0.25993111729621887,49,8,103,100
NO_OVERLOADING_0016.jpeg,3,0.93045973777771,18,58,230,180
NO_OVERLOADING_0016.jpeg,0,0.8191608786582947,77,58,124,177
NO_OVERLOADING_0016.jpeg,0,0.7935941815376282,49,55,91,161
NO_OVERLOADING_0017.jpeg,3,0.9389165639877319,37,34,239,192
NO_OVERLOADING_0017.jpeg,0,0.8815358877182007,155,1,206,141
