file,person_id,age
CHILD_IN_FRONT_0001.jpg,0,-1
CHILD_IN_FRONT_0002.jpg,0,23
CHILD_IN_FRONT_0002.jpg,1,23
CHILD_IN_FRONT_0002.jpg,2,23
CHILD_IN_FRONT_0003.jpg,0,56
CHILD_IN_FRONT_0004.jpg,0,28
CHILD_IN_FRONT_0004.jpg,1,28
CHILD_IN_FRONT_0005.jpg,0,32
CHILD_IN_FRONT_0005.jpg,1,32
CHILD_IN_FRONT_0005.jpg,2,32
CHILD_IN_FRONT_0006.jpg,0,45
CHILD_IN_FRONT_0006.jpg,1,45
CHILD_IN_FRONT_0007.jpg,0,29
CHILD_IN_FRONT_0007.jpg,1,29
CHILD_IN_FRONT_0008.jpg,0,31
CHILD_IN_FRONT_0008.jpg,1,28
CHILD_IN_FRONT_0008.jpg,2,28
CHILD_IN_FRONT_0008.jpg,3,28
CHILD_IN_FRONT_0009.jpg,0,26
CHILD_IN_FRONT_0009.jpg,1,26
CHILD_IN_FRONT_0010.jpg,0,36
CHILD_IN_FRONT_0010.jpg,1,37
CHILD_IN_FRONT_0011.jpg,0,35
CHILD_IN_FRONT_0011.jpg,1,-1
CHILD_IN_FRONT_0011.jpg,2,-1
CHILD_IN_FRONT_0011.jpg,3,-1
CHILD_IN_FRONT_0011.jpg,4,-1
CHILD_IN_FRONT_0012.jpg,0,22
CHILD_IN_FRONT_0012.jpg,1,22
NO_OVERLOADING_0001.jpg,0,39
NO_OVERLOADING_0001.jpg,1,39
NO_OVERLOADING_0002.jpg,0,33
NO_OVERLOADING_0002.jpg,1,33
NO_OVERLOADING_0003.jpg,0,40
NO_OVERLOADING_0003.jpg,1,40
NO_OVERLOADING_0004.jpeg,0,45
NO_OVERLOADING_0004.jpeg,1,31
NO_OVERLOADING_0005.jpeg,0,-1
NO_OVERLOADING_0005.jpeg,1,-1
NO_OVERLOADING_0006.jpeg,0,-1
NO_OVERLOADING_0006.jpeg,1,-1
NO_OVERLOADING_0006.jpeg,2,-1
NO_OVERLOADING_0007.jpeg,0,-1
NO_OVERLOADING_0007.jpeg,1,-1
NO_OVERLOADING_0008.jpeg,0,-1
NO_OVERLOADING_0008.jpeg,1,-1
NO_OVERLOADING_0008.jpeg,2,-1
NO_OVERLOADING_0009.jpeg,0,-1
NO_OVERLOADING_0009.jpeg,1,33
NO_OVERLOADING_0010.jpeg,0,-1
NO_OVERLOADING_0010.jpeg,1,-1
NO_OVERLOADING_0011.jpeg,0,-1
NO_OVERLOADING_0011.jpeg,1,-1
NO_OVERLOADING_0011.jpeg,2,-1
NO_OVERLOADING_0011.jpeg,3,-1
NO_OVERLOADING_0012.jpeg,0,-1
NO_OVERLOADING_0012.jpeg,1,-1
NO_OVERLOADING_0013.jpeg,0,41
NO_OVERLOADING_0013.jpeg,1,35
NO_OVERLOADING_0014.jpeg,0,-1
NO_OVERLOADING_0014.jpeg,1,-1
NO_OVERLOADING_0015.jpeg,0,-1
NO_OVERLOADING_0015.jpeg,1,-1
NO_OVERLOADING_0015.jpeg,2,-1
NO_OVERLOADING_0016.jpeg,0,-1
NO_OVERLOADING_0016.jpeg,1,-1
